SSRC,Timestamp,Kind,PacketsReceived,PacketsLost,LossRation,Jitter,CurrentBitrate,TargetBitrate
1039011702,2025-06-09T22:44:28-04:00,video,3,0,0.00,226212187.76,8,2000
1039011702,2025-06-09T22:44:28-04:00,video,73,0,0.00,2035105.31,544,2000
1039011702,2025-06-09T22:44:29-04:00,video,157,0,0.00,784.93,1208,2000
1039011702,2025-06-09T22:44:30-04:00,video,177,0,0.00,607.19,1416,2000
1039011702,2025-06-09T22:44:31-04:00,video,162,0,0.00,531.24,1264,2000
1039011702,2025-06-09T22:44:32-04:00,video,185,0,0.00,512.49,1424,2000
1039011702,2025-06-09T22:44:33-04:00,video,216,0,0.00,639.29,1768,2000
1039011702,2025-06-09T22:44:34-04:00,video,194,0,0.00,510.87,1608,2000
1039011702,2025-06-09T22:44:35-04:00,video,204,0,0.00,477.27,1688,2000
1039011702,2025-06-09T22:44:36-04:00,video,234,0,0.00,478.47,2008,2000
1039011702,2025-06-09T22:44:37-04:00,video,227,0,0.00,425.41,1936,2000
1039011702,2025-06-09T22:44:38-04:00,video,245,0,0.00,465.64,2024,2000
1039011702,2025-06-09T22:44:39-04:00,video,274,0,0.00,440.91,2312,2000
1039011702,2025-06-09T22:44:40-04:00,video,260,0,0.00,383.91,2208,2000
1039011702,2025-06-09T22:44:41-04:00,video,274,0,0.00,475.22,2344,2000
1039011702,2025-06-09T22:44:42-04:00,video,324,0,0.00,363.74,2824,2000
1039011702,2025-06-09T22:44:43-04:00,video,323,0,0.00,273.13,2816,2000
1039011702,2025-06-09T22:44:44-04:00,video,152,0,0.00,276.73,1344,2000
1039011702,2025-06-09T22:44:45-04:00,video,0,0,NaN,276.73,0,2000
1039011702,2025-06-09T22:44:46-04:00,video,266,0,0.00,222.11,2344,2000
1039011702,2025-06-09T22:44:47-04:00,video,400,0,0.00,225.98,3552,2000
1039011702,2025-06-09T22:44:48-04:00,video,458,0,0.00,216.64,4072,2000
1039011702,2025-06-09T22:44:49-04:00,video,470,0,0.00,158.45,4248,2000
1039011702,2025-06-09T22:44:50-04:00,video,489,0,0.00,176.62,4424,2000
1039011702,2025-06-09T22:44:51-04:00,video,563,0,0.00,176.81,5112,2000
1039011702,2025-06-09T22:44:52-04:00,video,574,0,0.00,127.11,5216,2000
1039011702,2025-06-09T22:44:53-04:00,video,609,0,0.00,171.42,5560,2000
1039011702,2025-06-09T22:44:54-04:00,video,696,0,0.00,130.77,6384,2000
1039011702,2025-06-09T22:44:55-04:00,video,707,0,0.00,123.51,6536,2000
1039011702,2025-06-09T22:44:56-04:00,video,794,0,0.00,103.53,7256,2000
1039011702,2025-06-09T22:44:57-04:00,video,859,0,0.00,90.81,7936,2000
1039011702,2025-06-09T22:44:58-04:00,video,880,0,0.00,88.04,8232,2000
1039011702,2025-06-09T22:44:59-04:00,video,949,0,0.00,82.51,8824,2000
1039011702,2025-06-09T22:45:00-04:00,video,1091,0,0.00,68.79,10168,2000
1039011702,2025-06-09T22:45:01-04:00,video,1077,0,0.00,67.62,10056,2000
1039011702,2025-06-09T22:45:02-04:00,video,1203,0,0.00,66.71,11256,2000
1039011702,2025-06-09T22:45:04-04:00,video,1315,0,0.00,35.29,12296,2000
1039011702,2025-06-09T22:45:04-04:00,video,1430,0,0.00,56.24,13456,2000
1039011702,2025-06-09T22:45:05-04:00,video,1508,0,0.00,48.08,14184,2000
1039011702,2025-06-09T22:45:06-04:00,video,1690,0,0.00,54.04,15928,2000
1039011702,2025-06-09T22:45:07-04:00,video,1745,0,0.00,143.60,16488,2000
1039011702,2025-06-09T22:45:08-04:00,video,1870,0,0.00,44.03,17688,2000
1039011702,2025-06-09T22:45:09-04:00,video,2104,0,0.00,48.76,19888,2000
1039011702,2025-06-09T22:45:10-04:00,video,2188,0,0.00,43.31,20736,2000
1039011702,2025-06-09T22:45:11-04:00,video,2342,0,0.00,58.80,22208,2000
1039011702,2025-06-09T22:45:12-04:00,video,1737,0,0.00,57.81,16480,2000
1039011702,2025-06-09T22:45:13-04:00,video,0,0,NaN,57.81,0,2000
1039011702,2025-06-09T22:45:14-04:00,video,417,345,0.83,721.22,3968,2000
1039011702,2025-06-09T22:45:15-04:00,video,90,4,0.04,1680.21,848,2000
1039011702,2025-06-09T22:45:16-04:00,video,0,0,NaN,1680.21,0,2000
1039011702,2025-06-09T22:45:17-04:00,video,207,150,0.72,193.46,1976,2000
1039011702,2025-06-09T22:45:18-04:00,video,46,401,8.72,10096.58,344,2000
1039011702,2025-06-09T22:45:19-04:00,video,0,0,NaN,10096.58,0,2000
1039011702,2025-06-09T22:45:20-04:00,video,60,-60,-1.00,1770.22,360,2000
1039011702,2025-06-09T22:45:21-04:00,video,0,0,NaN,1770.22,0,2000
1039011702,2025-06-09T22:45:22-04:00,video,0,0,NaN,1770.22,0,2000
1039011702,2025-06-09T22:45:23-04:00,video,32,311,9.72,15898.93,232,2000
1039011702,2025-06-09T22:45:24-04:00,video,0,0,NaN,15898.93,0,2000
1039011702,2025-06-09T22:45:25-04:00,video,57,-57,-1.00,2794.07,432,2000
1039011702,2025-06-09T22:45:26-04:00,video,0,0,NaN,2794.07,0,2000
1039011702,2025-06-09T22:45:27-04:00,video,0,0,NaN,2794.07,0,2000
1039011702,2025-06-09T22:45:28-04:00,video,0,0,NaN,2794.07,0,2000
1039011702,2025-06-09T22:45:29-04:00,video,22,231,10.50,31282.05,176,2000
1039011702,2025-06-09T22:45:30-04:00,video,0,0,NaN,31282.05,0,2000
1039011702,2025-06-09T22:45:31-04:00,video,58,-58,-1.00,3796.53,496,2000
1039011702,2025-06-09T22:45:32-04:00,video,0,0,NaN,3796.53,0,2000
1039011702,2025-06-09T22:45:33-04:00,video,0,0,NaN,3796.53,0,2000
1039011702,2025-06-09T22:45:34-04:00,video,29,394,13.59,17306.45,264,2000
1039011702,2025-06-09T22:45:35-04:00,video,0,0,NaN,17306.45,0,2000
1039011702,2025-06-09T22:45:36-04:00,video,59,-59,-1.00,3068.07,536,2000
1039011702,2025-06-09T22:45:37-04:00,video,0,0,NaN,3068.07,0,2000
1039011702,2025-06-09T22:45:38-04:00,video,0,0,NaN,3068.07,0,2000
1039011702,2025-06-09T22:45:39-04:00,video,0,0,NaN,3068.07,0,2000
1039011702,2025-06-09T22:45:40-04:00,video,0,0,NaN,3068.07,0,2000
1039011702,2025-06-09T22:45:41-04:00,video,0,0,NaN,3068.07,0,2000
1039011702,2025-06-09T22:45:42-04:00,video,0,0,NaN,3068.07,0,2000
1039011702,2025-06-09T22:45:43-04:00,video,30,291,9.70,24914.81,272,2000
1039011702,2025-06-09T22:45:44-04:00,video,0,0,NaN,24914.81,0,2000
1039011702,2025-06-09T22:45:45-04:00,video,58,-58,-1.00,2937.62,536,2000
1039011702,2025-06-09T22:45:46-04:00,video,0,0,NaN,2937.62,0,2000
1039011702,2025-06-09T22:45:47-04:00,video,0,0,NaN,2937.62,0,2000
1039011702,2025-06-09T22:45:48-04:00,video,0,0,NaN,2937.62,0,2000
1039011702,2025-06-09T22:45:49-04:00,video,37,323,8.73,14779.26,336,2000
1039011702,2025-06-09T22:45:50-04:00,video,0,0,NaN,14779.26,0,2000
1039011702,2025-06-09T22:45:51-04:00,video,54,-54,-1.00,3458.55,488,2000
1039011702,2025-06-09T22:45:52-04:00,video,0,0,NaN,3458.55,0,2000
1039011702,2025-06-09T22:45:53-04:00,video,0,0,NaN,3458.55,0,2000
1039011702,2025-06-09T22:45:54-04:00,video,0,0,NaN,3458.55,0,2000
1039011702,2025-06-09T22:45:55-04:00,video,39,361,9.26,15430.85,352,2000
1039011702,2025-06-09T22:45:56-04:00,video,53,-53,-1.00,2317.82,480,2000
1039011702,2025-06-09T22:45:57-04:00,video,0,0,NaN,2317.82,0,2000
1039011702,2025-06-09T22:45:58-04:00,video,0,0,NaN,2317.82,0,2000
1039011702,2025-06-09T22:45:59-04:00,video,0,0,NaN,2317.82,0,2000
1039011702,2025-06-09T22:46:00-04:00,video,29,309,10.66,12556.06,264,2000
