Time (s),Bitrate (kbps)
0,31689.24
1,32613.76
2,35327.992
3,38971.672
4,53690.864
5,56423.064
6,42438.232
7,35128.48
8,35653.712
9,28660.824
10,29273.344
11,29676.168
12,34727.944
13,33922.912
14,29189.024
15,30416.048
16,29507.576
17,27620.464
18,34831.064
19,43339.952
20,37223.952
21,31741.88
22,34249.656
23,35815.048
24,38530.6
25,36438.696
26,41955.248
27,34527.936
28,38689.736
29,35700.36
30,40955.4
31,45416.096
32,43279.2
33,43587.464
34,41228.032
35,41715.136
36,43871.08
37,49487.56
38,48872.576
39,48485.248
40,44716.448
41,49176.952
42,52936.872
43,55679.488
44,61152.216
45,61577.928
46,60860.248
47,59386.432
48,56435.216
49,51750.248
50,40084.536
51,38019.376
52,38772.28
53,34996.168
54,41388.944
55,35910.288
56,38426.272
57,41426.304
58,38994.04
59,39350.856
60,31404.208
61,33105.128
62,40837.584
63,42394.616
64,39308.888
65,38895.448
66,38913.752
67,38082.248
68,38864.68
69,37747.512
70,34692.832
71,37506.496
72,31244.608
73,30161.64
74,29584.288
75,31760.744
76,32873.632
77,37153.616
78,37739.528
79,36398.992
80,33602.416
81,33899.392
82,33764.52
83,37161.544
84,40121.2
85,43015.28
86,41940.272
87,41796.896
88,42379.048
89,43576.16
90,46899.8
91,49037.312
92,47514.632
93,45511.64
94,47437.352
95,41257.592
96,40806.816
97,44597.424
98,53172.104
99,60687.088
100,60770.264
101,57129.64
102,55707.92
103,60849.12
104,62807.512
105,63373.56
106,54951.472
107,48910.288
108,46562.616
109,44142.816
110,43605.28
111,38956.824
112,38668.12
113,38996.344
114,39265.288
115,41686.528
116,45151.976
117,37068.72
118,32531.448
119,30767.152
120,32403.64
121,21834.136
122,18945.464
123,19667.472
124,25541.744
125,27700.48
126,28751.976
127,26514.568
128,27902.624
129,29312.896
130,29478.88
131,30855.672
132,32258.728
133,32933.344
134,33119.912
135,30409.488
136,31400.624
137,31845.24
138,33332.824
139,35661.68
140,33879.8
141,33679.256
142,32298.872
143,32036.888
144,33448.2
145,33217.792
146,34706.456
147,32073.544
148,29139.128
149,29823.584
150,25400.872
151,26846.176
152,26089.136
153,25346.192
154,27106.008
155,25487.816
156,26003.44
157,26478.544
158,25365.584
159,24513.752
160,27080.176
161,25760.92
162,24405.024
163,28240.176
164,28582.848
165,30734.536
166,32391.248
167,30123.448
168,29388.992
169,29545.992
170,33027.584
171,36122.2
172,35147.416
173,37672.344
174,36198.784
175,37875.224
176,36600.592
177,37301.096
178,34851.92
179,40476.816
180,32652.84
181,34943.256
182,36968.24
183,37339.56
184,34566.344
185,37160.064
186,39984.984
187,39170.92
188,36345.072
189,40163.0
190,35540.848
191,34350.656
192,40164.52
193,38534.328
194,35536.376
195,35439.36
196,36519.144
197,39667.264
198,41763.336
199,40669.304
200,38688.016
201,39111.48
202,35960.88
203,36528.248
204,37378.64
205,35797.24
206,37553.096
207,36542.472
208,34057.6
209,32318.544
210,30827.904
211,32399.744
212,31521.016
213,33103.976
214,32645.952
215,31166.592
216,29272.144
217,31613.84
218,28008.176
219,24368.496
220,22279.232
221,32376.56
222,47552.2
223,51156.432
224,33717.096
225,24005.504
226,24340.056
227,24397.888
228,24523.752
229,25210.424
230,25549.032
231,28843.568
232,32041.664
233,30400.44
234,26062.44
235,27121.336
236,25345.584
237,28806.696
238,27428.872
239,25020.264
240,26512.0
241,27905.24
242,27125.144
243,28262.552
244,30984.96
245,35730.168
246,34101.24
247,33886.2
248,31647.528
249,33834.824
250,32211.304
251,33152.04
252,32551.896
253,34322.856
254,36050.6
255,34707.12
256,39902.728
257,38899.84
258,44852.008
259,44591.224
260,42654.752
261,43951.088
262,46000.328
263,43914.896
264,41519.512
265,27116.368
266,28061.624
267,26789.448
268,27410.928
269,43132.56
270,50244.592
271,49631.144
272,48070.44
