flutter: 🎯 Target Bitrate: 1343.67 kbps | 📡 Current Bitrate: 922.99 kbps
flutter: 🎯 Target Bitrate: 1444.623 kbps | 📡 Current Bitrate: 1002.98 kbps
flutter: 🎯 Target Bitrate: 1552.454 kbps | 📡 Current Bitrate: 970.15 kbps
flutter: 🎯 Target Bitrate: 1655.161 kbps | 📡 Current Bitrate: 1113.63 kbps
flutter: 🎯 Target Bitrate: 1767.972 kbps | 📡 Current Bitrate: 1221.01 kbps
flutter: 🎯 Target Bitrate: 1899.691 kbps | 📡 Current Bitrate: 1295.36 kbps
flutter: 🎯 Target Bitrate: 2007.731 kbps | 📡 Current Bitrate: 1319.32 kbps
flutter: 🎯 Target Bitrate: 2183.401 kbps | 📡 Current Bitrate: 1443.38 kbps
flutter: 🎯 Target Bitrate: 2344.485 kbps | 📡 Current Bitrate: 1490.10 kbps
flutter: 🎯 Target Bitrate: 2476.853 kbps | 📡 Current Bitrate: 1615.66 kbps
flutter: 🎯 Target Bitrate: 2722.094 kbps | 📡 Current Bitrate: 1970.41 kbps
flutter: 🎯 Target Bitrate: 2921.94 kbps | 📡 Current Bitrate: 1966.10 kbps
flutter: 🎯 Target Bitrate: 3135.943 kbps | 📡 Current Bitrate: 2105.19 kbps
flutter: 🎯 Target Bitrate: 3418.662 kbps | 📡 Current Bitrate: 2426.59 kbps
flutter: 🎯 Target Bitrate: 3667.048 kbps | 📡 Current Bitrate: 2348.56 kbps
flutter: 🎯 Target Bitrate: 3917.845 kbps | 📡 Current Bitrate: 2693.11 kbps
flutter: 🎯 Target Bitrate: 4301.044 kbps | 📡 Current Bitrate: 3000.88 kbps
flutter: 🎯 Target Bitrate: 4613.185 kbps | 📡 Current Bitrate: 3054.57 kbps
flutter: 🎯 Target Bitrate: 4947.873 kbps | 📡 Current Bitrate: 3301.78 kbps
flutter: 🎯 Target Bitrate: 5406.335 kbps | 📡 Current Bitrate: 3845.41 kbps
flutter: 🎯 Target Bitrate: 5797.648 kbps | 📡 Current Bitrate: 3976.80 kbps
flutter: 🎯 Target Bitrate: 6186.731 kbps | 📡 Current Bitrate: 4031.63 kbps
flutter: 🎯 Target Bitrate: 6710.063 kbps | 📡 Current Bitrate: 4612.79 kbps
flutter: 🎯 Target Bitrate: 7196.593 kbps | 📡 Current Bitrate: 4681.15 kbps
flutter: 🎯 Target Bitrate: 7716.402 kbps | 📡 Current Bitrate: 5302.81 kbps
flutter: 🎯 Target Bitrate: 8470.357 kbps | 📡 Current Bitrate: 5894.52 kbps
flutter: 🎯 Target Bitrate: 9080.236 kbps | 📡 Current Bitrate: 6092.84 kbps
flutter: 🎯 Target Bitrate: 9735.673 kbps | 📡 Current Bitrate: 6437.22 kbps
flutter: 🎯 Target Bitrate: 10682.964 kbps | 📡 Current Bitrate: 7306.96 kbps
flutter: 🎯 Target Bitrate: 11452.678 kbps | 📡 Current Bitrate: 7913.97 kbps
flutter: 🎯 Target Bitrate: 12278.919 kbps | 📡 Current Bitrate: 8317.00 kbps
flutter: 🎯 Target Bitrate: 11962.313 kbps | 📡 Current Bitrate: 8650.19 kbps
flutter: 🎯 Target Bitrate: 13960.733 kbps | 📡 Current Bitrate: 8999.09 kbps
flutter: 🎯 Target Bitrate: 14964.265 kbps | 📡 Current Bitrate: 10063.40 kbps
flutter: 🎯 Target Bitrate: 16417.145 kbps | 📡 Current Bitrate: 11264.75 kbps
flutter: 🎯 Target Bitrate: 17464.385 kbps | 📡 Current Bitrate: 11596.04 kbps
flutter: 🎯 Target Bitrate: 17871.129 kbps | 📡 Current Bitrate: 12861.38 kbps
flutter: 🎯 Target Bitrate: 20224.142 kbps | 📡 Current Bitrate: 13920.26 kbps
flutter: 🎯 Target Bitrate: 21676.569 kbps | 📡 Current Bitrate: 14474.17 kbps
flutter: 🎯 Target Bitrate: 23062.084 kbps | 📡 Current Bitrate: 15650.69 kbps
flutter: 🎯 Target Bitrate: 25291.464 kbps | 📡 Current Bitrate: 17369.89 kbps
flutter: 🎯 Target Bitrate: 27013.656 kbps | 📡 Current Bitrate: 18200.74 kbps
flutter: 🎯 Target Bitrate: 28726.939 kbps | 📡 Current Bitrate: 20120.81 kbps
flutter: 🎯 Target Bitrate: 31010.919 kbps | 📡 Current Bitrate: 21625.36 kbps
flutter: 🎯 Target Bitrate: 32772.704 kbps | 📡 Current Bitrate: 22378.91 kbps
flutter: 🎯 Target Bitrate: 35120.307 kbps | 📡 Current Bitrate: 23689.49 kbps
flutter: 🎯 Target Bitrate: 37645.859 kbps | 📡 Current Bitrate: 25998.01 kbps
