
Timestamp,target_bitrate,current_bitrate
bandwidth_marks = [
    ("2025-06-10T00:53:58", 20000),
    ("2025-06-10T00:55:09", 30000),
    ("2025-06-10T00:56:32", 50000),
    ("2025-06-10T00:57:45", 30000),
    ("2025-06-10T00:59:10", 10000),
    ("2025-06-10T01:00:54", 5000),
]
flutter: 2025-06-10T00:53:58.616669,1050.393,708.77
flutter: 2025-06-10T00:53:59.616268,1067.583,628.14
flutter: 2025-06-10T00:54:00.622126,1095.999,773.61
flutter: 2025-06-10T00:54:01.614289,1208.176,764.01
flutter: 2025-06-10T00:54:02.614065,1299.175,836.45
flutter: 2025-06-10T00:54:03.613575,1397.091,1022.14
flutter: 2025-06-10T00:54:04.613840,1535.598,956.85
flutter: 2025-06-10T00:54:05.612608,1624.462,1066.85
flutter: 2025-06-10T00:54:06.613637,1745.039,1336.23
flutter: 2025-06-10T00:54:07.610979,1919.975,1271.71
flutter: 2025-06-10T00:54:08.614878,2044.291,1415.53
flutter: 2025-06-10T00:54:09.616128,2178.339,1427.27
flutter: 2025-06-10T00:54:10.617774,2395.627,1528.35
flutter: 2025-06-10T00:54:11.615225,2571.665,1671.42
flutter: 2025-06-10T00:54:12.611114,2759.624,2034.87
flutter: 2025-06-10T00:54:13.612554,3033.016,1966.46
flutter: 2025-06-10T00:54:14.612515,3255.238,2135.10
flutter: 2025-06-10T00:54:15.612813,3491.79,2571.80
flutter: 2025-06-10T00:54:16.613165,3835.925,2410.10
flutter: 2025-06-10T00:54:17.613127,4051.341,2647.56
flutter: 2025-06-10T00:54:18.613866,4346.28,3153.94
flutter: 2025-06-10T00:54:19.613989,4773.125,3098.38
flutter: 2025-06-10T00:54:20.613182,5119.17,3412.15
flutter: 2025-06-10T00:54:21.613683,5489.647,3905.23
flutter: 2025-06-10T00:54:22.613433,6028.694,3939.44
flutter: 2025-06-10T00:54:23.610836,6464.622,4304.25
flutter: 2025-06-10T00:54:24.610181,6931.376,4925.46
flutter: 2025-06-10T00:54:25.627900,7608.719,5032.58
flutter: 2025-06-10T00:54:26.612251,8159.237,5341.91
flutter: 2025-06-10T00:54:27.612804,8748.105,6269.50
flutter: 2025-06-10T00:54:28.613475,9599.048,6387.52
flutter: 2025-06-10T00:54:29.614686,10292.385,6758.20
flutter: 2025-06-10T00:54:30.615153,11003.558,7617.33
flutter: 2025-06-10T00:54:31.614171,12073.653,7987.09
flutter: 2025-06-10T00:54:32.613915,12945.437,8771.41
flutter: 2025-06-10T00:54:33.613285,13875.475,9630.65
flutter: 2025-06-10T00:54:34.613401,15226.159,10086.73
flutter: 2025-06-10T00:54:35.613094,16324.281,10891.40
flutter: 2025-06-10T00:54:36.612903,17495.551,12364.23
flutter: 2025-06-10T00:54:37.612210,16051.32,11309.37
flutter: 2025-06-10T00:54:38.612620,17380.583,11972.03
flutter: 2025-06-10T00:54:39.612669,19030.085,13313.32
flutter: 2025-06-10T00:54:40.613813,20490.345,13178.52
flutter: 2025-06-10T00:54:41.613280,22193.514,15030.56
flutter: 2025-06-10T00:54:42.612964,23604.89,17360.26
flutter: 2025-06-10T00:54:43.613220,4954.959,7433.98
flutter: 2025-06-10T00:54:44.613485,16954.426,6365.71
flutter: 2025-06-10T00:54:45.612990,25104.957,18656.64
flutter: 2025-06-10T00:54:46.613030,493.288,1892.73
flutter: 2025-06-10T00:54:47.612724,491.512,1215.02
flutter: 2025-06-10T00:54:48.612459,491.512,2321.95
flutter: 2025-06-10T00:54:49.612449,491.512,3749.49
flutter: 2025-06-10T00:54:50.612899,491.512,3357.74
flutter: 2025-06-10T00:54:51.613068,491.512,3428.20
flutter: 2025-06-10T00:54:52.612445,491.144,2765.15
flutter: 2025-06-10T00:54:53.612832,491.144,1552.67
flutter: 2025-06-10T00:54:54.614008,491.496,1148.17
flutter: 2025-06-10T00:54:55.615324,713.918,683.72
flutter: 2025-06-10T00:54:56.613465,982.928,590.23
flutter: 2025-06-10T00:54:57.614114,982.664,737.99
flutter: 2025-06-10T00:54:58.612393,982.048,1054.26
flutter: 2025-06-10T00:54:59.612807,982.048,1037.54
flutter: 2025-06-10T00:55:00.613071,982.048,1035.18
flutter: 2025-06-10T00:55:01.611186,982.048,1031.96
flutter: 2025-06-10T00:55:02.613031,983.152,1067.72
flutter: 2025-06-10T00:55:03.614179,983.168,1013.99
flutter: 2025-06-10T00:55:04.613994,982.952,1017.70
flutter: 2025-06-10T00:55:05.613036,983.16,954.91
flutter: 2025-06-10T00:55:06.612191,1540.383,966.30
flutter: 2025-06-10T00:55:07.613156,2646.266,1426.51
flutter: 2025-06-10T00:55:08.612192,4514.565,2480.05
flutter: 2025-06-10T00:55:09.612267,7670.593,4506.95
flutter: 2025-06-10T00:55:10.610292,13004.465,6710.58
flutter: 2025-06-10T00:55:11.612485,16924.238,4363.20
flutter: 2025-06-10T00:55:12.611736,25526.884,0.00
flutter: 2025-06-10T00:55:13.610420,25526.884,0.00
flutter: 2025-06-10T00:55:14.613889,25337.987,20917.92
flutter: 2025-06-10T00:55:15.611821,26008.55,19009.70
flutter: 2025-06-10T00:55:16.614048,29295.966,19233.09
flutter: 2025-06-10T00:55:17.611795,31344.515,21104.47
flutter: 2025-06-10T00:55:18.611647,31211.752,23349.41
flutter: 2025-06-10T00:55:19.610670,31306.332,22099.67
flutter: 2025-06-10T00:55:20.612415,33399.844,23851.16
flutter: 2025-06-10T00:55:21.611675,32724.713,25510.30
